"day","num_of_users"
2018-01-01,1920
2018-01-02,1839
2018-01-03,1811
2018-01-04,1740
2018-01-05,1856
2018-01-06,1812
2018-01-07,1781
2018-01-08,1763
2018-01-09,1903
2018-01-10,1760
2018-01-11,1764
2018-01-12,1830
2018-01-13,2007
2018-01-14,1749
2018-01-15,1801
2018-01-16,1854
2018-01-17,1825
2018-01-18,1831
2018-01-19,1830
2018-01-20,1752
2018-01-21,1711
2018-01-22,1821
2018-01-23,1678
2018-01-24,1719
2018-01-25,1764
2018-01-26,1761
2018-01-27,1726
2018-01-28,1719
2018-01-29,1723
2018-01-30,1666
2018-01-31,2099
2018-02-01,1847
2018-02-02,2020
2018-02-03,1847
2018-02-04,1778
2018-02-05,1843
2018-02-06,1857
2018-02-07,1760
2018-02-08,1811
2018-02-09,1856
2018-02-10,1847
2018-02-11,1879
2018-02-12,1814
2018-02-13,1827
2018-02-14,1844
2018-02-15,1823
2018-02-16,2522
2018-02-17,2847
2018-02-18,2324
2018-02-19,1742
2018-02-20,1796
2018-02-21,1922
2018-02-22,1711
2018-02-23,2163
2018-02-24,1750
2018-02-25,1734
2018-02-26,1760
2018-02-27,1736
2018-02-28,1604
2018-03-01,1727
2018-03-02,1679
2018-03-03,1681
2018-03-04,1757
2018-03-05,1761
2018-03-06,1743
2018-03-07,1742
2018-03-08,1956
2018-03-09,1816
2018-03-10,1802
2018-03-11,1679
2018-03-12,1831
2018-03-13,1714
2018-03-14,1870
2018-03-15,1833
2018-03-16,1718
2018-03-17,1855
2018-03-18,1720
2018-03-19,1783
2018-03-20,1800
2018-03-21,1848
2018-03-22,1757
2018-03-23,1769
2018-03-24,1779
2018-03-25,1705
2018-03-26,1945
2018-03-27,1797
2018-03-28,1882
2018-03-29,1824
2018-03-30,1856
2018-03-31,1898
2018-04-01,1856
2018-04-02,1689
2018-04-03,1813
2018-04-04,1739
2018-04-05,1816
2018-04-06,1973
2018-04-07,1776
2018-04-08,1740
2018-04-09,1838
2018-04-10,1648
2018-04-11,1757
2018-04-12,2063
2018-04-13,1812
2018-04-14,1877
2018-04-15,1757
2018-04-16,1821
2018-04-17,1724
2018-04-18,1657
2018-04-19,1798
2018-04-20,1690
2018-04-21,1851
2018-04-22,1551
2018-04-23,1772
2018-04-24,1740
2018-04-25,1747
2018-04-26,1702
2018-04-27,1662
2018-04-28,1793
2018-04-29,1918
2018-04-30,1851
2018-05-01,1698
2018-05-02,1779
2018-05-03,1698
2018-05-04,1697
2018-05-05,1714
2018-05-06,1749
2018-05-07,1743
2018-05-08,1828
2018-05-09,1722
2018-05-10,1714
2018-05-11,1705
2018-05-12,1721
2018-05-13,1695
2018-05-14,1687
2018-05-15,1748
2018-05-16,1671
2018-05-17,1836
2018-05-18,1741
2018-05-19,1839
2018-05-20,1590
2018-05-21,1730
2018-05-22,1698
2018-05-23,1727
2018-05-24,1718
